model,size_mb,map50,map50_95,precision,recall,fps,mean_ms,p95_ms
baseline,5.98,97.75,73.58,94.94,92.6,33.55,29.81,30.46
pruned_20pct,6.0,3.38,1.64,2.72,17.15,36.18,27.64,29.87
pruned_20pct_finetuned,5.98,3.62,1.71,5.13,20.69,37.01,27.02,27.49
pruned_30pct,6.0,0.03,0.01,7.83,0.44,34.16,29.28,38.17
pruned_30pct_finetuned,5.98,0.2,0.07,8.08,0.32,32.54,30.73,31.71
pruned_40pct,6.0,0.0,0.0,0.01,0.13,33.96,29.44,30.39
pruned_40pct_finetuned,5.98,0.0,0.0,1.95,0.13,31.94,31.31,36.36
pruned_50pct,6.0,0.0,0.0,0.0,0.0,30.73,32.54,42.81
pruned_50pct_finetuned,5.98,0.0,0.0,0.0,0.0,32.1,31.15,36.09
quant_dynamic,11.68,97.75,73.58,94.94,92.6,33.74,29.64,31.32
quant_onnx_int8,3.21,96.97,72.7,94.94,92.6,16.73,59.79,59.79
pruned_40pct_finetuned_onnx_int8,3.21,0.0,0.0,1.95,0.13,17.06,58.63,58.63
