model,size_mb,map50,map50_95,precision,recall,fps,mean_ms,p95_ms
baseline,5.98,97.78,73.79,91.28,96.34,26.62,37.57,38.85
pruned_20pct,6.0,97.63,73.54,90.91,96.38,26.39,37.89,40.54
pruned_20pct_finetuned,6.0,97.77,73.92,93.01,95.49,26.63,37.55,40.15
pruned_30pct,6.0,97.52,72.99,89.88,96.2,26.61,37.58,38.91
pruned_30pct_finetuned,6.0,97.68,74.13,92.29,96.11,27.13,36.86,38.08
pruned_40pct,6.0,97.33,72.6,90.22,92.84,25.93,38.57,42.27
pruned_40pct_finetuned,6.0,97.63,74.01,90.41,96.25,27.0,37.04,38.27
pruned_40pct_finetuned_onnx_fp16,5.9,97.72,74.02,89.88,96.26,41.38,24.17,24.17
pruned_40pct_finetuned_onnx_int8,3.21,97.6,68.55,95.57,91.43,2.71,369.26,369.26
pruned_50pct,6.0,95.76,69.95,87.15,89.7,26.8,37.31,38.76
pruned_50pct_finetuned,6.0,97.61,73.7,92.94,95.09,25.45,39.3,44.11
pruned_50pct_finetuned_onnx_fp16,5.9,98.05,73.67,91.31,96.41,36.38,27.49,27.49
pruned_60pct,6.0,80.88,56.06,80.29,66.25,27.06,36.95,38.25
pruned_60pct_finetuned,6.0,97.57,73.84,91.4,95.97,27.16,36.82,38.11
pruned_70pct,6.0,11.04,7.98,18.41,21.7,26.75,37.38,38.42
pruned_70pct_finetuned,6.0,97.42,73.17,90.05,94.18,26.45,37.81,39.25
pruned_80pct,6.0,0.73,0.52,6.83,1.1,26.75,37.39,39.39
pruned_80pct_finetuned,6.0,95.53,70.69,92.53,86.99,26.57,37.63,38.94
pruned_80pct_finetuned_onnx_fp16,5.9,95.42,,,,36.5,27.4,
pruned_90pct,6.0,0.0,0.0,0.0,0.0,26.41,37.86,38.97
pruned_90pct_finetuned,6.0,80.25,57.58,80.19,69.66,25.97,38.51,41.39
pruned_95pct,6.0,0.0,0.0,0.0,0.0,26.85,37.25,38.22
pruned_95pct_finetuned,6.0,52.96,35.66,61.78,47.47,26.95,37.11,39.05
pruned_99pct,6.0,0.0,0.0,0.0,0.0,25.89,38.62,41.83
pruned_99pct_finetuned,6.0,19.96,12.94,34.1,25.04,26.59,37.6,39.94
quant_dynamic,11.68,97.78,73.79,91.28,96.34,27.04,36.98,38.19
quant_onnx_fp16,5.9,97.77,73.88,89.95,96.3,37.24,26.85,26.85
quant_onnx_int8,3.21,97.15,70.37,93.6,91.63,2.68,373.7,373.7
