phase,detail,start,end,duration_sec,duration_min
train_baseline,,2026-09-13T22:50:12,2026-09-13T23:08:37,1105.4,18.42
prune,20%,2026-09-13T23:08:58,2026-09-13T23:08:58,0.2,0.0
prune,30%,2026-09-13T23:08:58,2026-09-13T23:08:58,0.2,0.0
prune,40%,2026-09-13T23:08:58,2026-09-13T23:08:58,0.3,0.0
prune,50%,2026-09-13T23:08:58,2026-09-13T23:08:59,0.3,0.0
quantize_dynamic,,2026-09-13T23:11:43,2026-09-13T23:11:43,0.1,0.0
quantize_onnx_baseline,,2026-09-13T23:11:43,2026-09-13T23:11:47,4.1,0.07
quantize_onnx_combined,pruned_40pct_finetuned,2026-09-13T23:11:47,2026-09-13T23:11:48,1.3,0.02
quantize_all,,2026-09-13T23:11:43,2026-09-13T23:11:48,5.5,0.09
prune,20%,2026-09-13T23:20:53,2026-09-13T23:20:53,0.0,0.0
finetune,20%,2026-09-13T23:20:53,2026-09-13T23:25:32,279.2,4.65
prune,30%,2026-09-13T23:25:32,2026-09-13T23:25:32,0.0,0.0
finetune,30%,2026-09-13T23:25:32,2026-09-13T23:30:06,274.6,4.58
prune,40%,2026-09-13T23:30:06,2026-09-13T23:30:06,0.0,0.0
finetune,40%,2026-09-13T23:30:06,2026-09-13T23:34:44,277.5,4.62
prune,50%,2026-09-13T23:34:44,2026-09-13T23:34:44,0.0,0.0
finetune,50%,2026-09-13T23:34:44,2026-09-13T23:39:20,276.1,4.6
quantize_dynamic,,2026-09-13T23:42:06,2026-09-13T23:42:06,0.2,0.0
quantize_onnx_baseline,,2026-09-13T23:42:06,2026-09-13T23:42:08,2.0,0.03
quantize_onnx_combined,pruned_40pct_finetuned,2026-09-13T23:42:08,2026-09-13T23:42:10,1.3,0.02
quantize_all,,2026-09-13T23:42:06,2026-09-13T23:42:10,3.5,0.06
prune,60%,2026-09-13T23:53:05,2026-09-13T23:53:05,0.9,0.01
finetune,60%,2026-09-13T23:53:05,2026-09-13T23:57:47,281.5,4.69
prune,70%,2026-09-13T23:57:47,2026-09-13T23:57:47,0.4,0.01
finetune,70%,2026-09-13T23:57:47,2026-09-14T00:02:20,273.1,4.55
prune,80%,2026-09-14T00:02:20,2026-09-14T00:02:21,0.4,0.01
finetune,80%,2026-09-14T00:02:21,2026-09-14T00:06:54,273.2,4.55
prune,90%,2026-09-14T00:06:54,2026-09-14T00:06:54,0.4,0.01
finetune,90%,2026-09-14T00:06:54,2026-09-14T00:11:29,274.5,4.57
prune_extended_all,,2026-09-13T23:53:05,2026-09-14T00:11:29,1104.3,18.41
prune,95%,2026-09-14T00:15:04,2026-09-14T00:15:05,1.0,0.02
finetune,95%,2026-09-14T00:15:05,2026-09-14T00:19:40,275.3,4.59
prune,99%,2026-09-14T00:19:40,2026-09-14T00:19:41,0.4,0.01
finetune,99%,2026-09-14T00:19:41,2026-09-14T00:24:12,271.4,4.52
prune_extended2_all,,2026-09-14T00:15:04,2026-09-14T00:24:12,548.0,9.13
quantize_dynamic,,2026-09-14T05:57:25,2026-09-14T05:57:25,0.1,0.0
quantize_onnx_baseline,,2026-09-14T05:57:25,2026-09-14T05:57:27,1.6,0.03
quantize_onnx_fp16_baseline,,2026-09-14T05:57:27,2026-09-14T05:57:28,0.8,0.01
quantize_onnx_combined_int8,pruned_40pct_finetuned,2026-09-14T05:57:28,2026-09-14T05:57:29,1.3,0.02
quantize_onnx_combined_fp16,pruned_40pct_finetuned,2026-09-14T05:57:29,2026-09-14T05:57:30,0.8,0.01
quantize_all,,2026-09-14T05:57:25,2026-09-14T05:57:30,4.5,0.08
quantize_onnx_combined_fp16_extra,pruned_50pct_finetuned,2026-09-14T06:23:19,2026-09-14T06:23:21,1.9,0.03
